Filename,minimum,maximum,average,U1,U2,U3,U4
0080_MWIR (2).jpg,0.463623,1.856987,1.265714614356042,-26.977223632087476,-8.125015314119587,-2.307592810877659,-2.3625731838620068
0081_MWIR (2).jpg,0.593517,1.900196,1.3107882248348826,-26.74973487913814,-8.057283464950968,-2.2880786476300705,-2.3421460999998667
0154_MWIR (2).jpg,0.411537,2.401928,1.313819377730553,-26.734378988257912,-8.052572495602446,-2.2867274881485797,-2.3407883113816568
0155_MWIR (2).jpg,0.346588,2.083042,1.2480736520425637,-27.06622619600801,-8.151436191524526,-2.3152079508274457,-2.3705763024511857
0156_MWIR (2).jpg,0.303913,2.104893,1.2451261836900684,-27.081099997584516,-8.155859315954539,-2.316482528697867,-2.3719126901351
0157_MWIR (2).jpg,0.325687,2.19014,1.2365182745780332,-27.124540294832872,-8.168782789606766,-2.3202063155942914,-2.3758148638809478
0158_MWIR (2).jpg,0.326088,2.233086,1.2506599585463551,-27.053168457641647,-8.147537526935508,-2.314085211685614,-2.3694054869172803
0159_MWIR (2).jpg,0.347881,2.169525,1.250482863744496,-27.054060858844,-8.147799803812344,-2.3141609057373147,-2.369486104218055
0160_MWIR (2).jpg,0.326614,2.148628,1.2460802894875245,-27.076278921393488,-8.154410103905864,-2.3160655108518604,-2.3714817272765276
0161_MWIR (2).jpg,0.370193,2.085228,1.240420246410225,-27.104845025000408,-8.162914271847592,-2.318515670745412,-2.3740469200441603
0162_MWIR (2).jpg,0.37064,2.064434,1.21841488643591,-27.215912994569383,-8.195997426570367,-2.32804662712364,-2.384018028663348
0163_MWIR (2).jpg,0.349369,1.787777,1.1452381065924657,-27.58523662603006,-8.305950791185916,-2.3597253827259657,-2.417181954958771
0164_MWIR (2).jpg,0.327972,1.76667,1.1439131536906801,-27.591923926508585,-8.30794234441484,-2.3602991589746827,-2.4177823799464737
0165_MWIR (2).jpg,0.306553,1.745522,1.1405708362065803,-27.608790218863184,-8.312957834441304,-2.3617443914634917,-2.4192977322947242
0166_MWIR (2).jpg,0.306679,1.767014,1.1456955175238503,-27.582928368972905,-8.305264317999288,-2.359527576880724,-2.4169745818538515
0167_MWIR (2).jpg,0.263542,1.831116,1.1451838984955969,-27.58550872112639,-8.306028150549604,-2.3597478033227164,-2.417206895790317
0168_MWIR (2).jpg,0.350067,1.873852,1.1643825920101516,-27.488616990526435,-8.27719221635528,-2.351439492802028,-2.4085049550496977
0169_MWIR (2).jpg,0.350151,1.852619,1.1931844491591244,-27.343258264016402,-8.233927371051328,-2.338973977136515,-2.3954506862328606
0170_MWIR (2).jpg,0.37178,2.044407,1.233164700712451,-27.141481288129096,-8.173863949539072,-2.3216687050375175,-2.377330577421018
0171_MWIR (2).jpg,0.393436,2.023178,1.2422307464193982,-27.09572559841615,-8.160243453618936,-2.317744419485848,-2.37322162839186
0172_MWIR (2).jpg,0.393414,2.023151,1.2537784092374022,-27.037445498591,-8.142895065402616,-2.31274607409799,-2.3679879449493297
0173_MWIR (2).jpg,0.371887,1.916721,1.246719920505137,-27.073068460216138,-8.153497506523161,-2.315800891901809,-2.3711872309058526
0174_MWIR (2).jpg,0.41497,1.980522,1.2805997170560177,-26.90207423827362,-8.102583313824866,-2.301132207904092,-2.355833495247966
0175_MWIR (2).jpg,0.414997,1.980556,1.2745255746972848,-26.932730409880897,-8.111710014289805,-2.303761734582031,-2.358586359371024
0176_MWIR (2).jpg,0.458153,1.959225,1.2786488262873044,-26.91192082350419,-8.105515888042751,-2.3019771080343747,-2.356717585368243
0177_MWIR (2).jpg,0.41497,2.023117,1.2835024993334148,-26.887424522691184,-8.09822349689928,-2.2998760797258,-2.3545178446651143
0178_MWIR (2).jpg,0.436638,1.980606,1.2639769714255138,-26.985969468811497,-8.12756063994048,-2.308328488704762,-2.3633670196444876
0179_MWIR (2).jpg,0.436661,1.938026,1.2690078747981899,-26.96057811476481,-8.120000357360219,-2.3061503110859074,-2.3610870738429592
0180_MWIR (2).jpg,0.458244,1.916702,1.2804997114664873,-26.902578256976646,-8.102731676182065,-2.3011750440805883,-2.355879038585627
0181_MWIR (2).jpg,0.436619,1.937981,1.2743073984069226,-26.93383165503896,-8.112038147423602,-2.303856271221753,-2.358685221796462
0225_MWIR.jpg,0.39679,1.920464,1.1829957737952543,-27.394673226527512,-8.24921671728253,-2.3433798179433047,-2.4000703069004534
0226_MWIR.jpg,0.41848,2.027107,1.25745887520181,-27.018854087547403,-8.13732126656057,-2.3111419092141037,-2.36632439327826
0227_MWIR.jpg,0.418289,1.856377,1.1719706566352739,-27.450315481077254,-8.265778505621636,-2.3481516384569434,-2.405067392132614
0228_MWIR.jpg,0.41848,1.685822,1.0912208234864236,-27.857847415802663,-8.387075836649744,-2.383100107548259,-2.4416670567237766
0230_MWIR.jpg,0.39674,1.621555,1.0570574309809198,-28.03024590627401,-8.438342057263151,-2.3978726142955282,-2.4571560833067663
0231_MWIR.jpg,0.375187,1.578857,1.0549773561980187,-28.040741798316546,-8.44146130827145,-2.398771487804637,-2.4580993182842605
0232_MWIR.jpg,0.375233,1.728493,1.0488398589316292,-28.071712058869288,-8.450667622090425,-2.401424412241719,-2.4608822476050016
0233_MWIR.jpg,0.375221,1.55751,1.0485589958017367,-28.073128445314396,-8.451086504451148,-2.401545174146191,-2.4610097835963067
0234_MWIR.jpg,0.396599,1.535866,1.046863755286815,-28.08168477452912,-8.453635000639053,-2.402279430074755,-2.4617780306327934
0235_MWIR.jpg,0.375,1.514473,1.0514676912885275,-28.058451771250425,-8.4467256998822,-2.400288499202993,-2.459690722254555
0236_MWIR.jpg,0.331749,1.557228,1.0552248957466976,-28.03949151795853,-8.441086731927093,-2.398663628277634,-2.4579873329958395
0237_MWIR.jpg,0.331963,1.557476,1.0549573315313112,-28.04084160431415,-8.441487903910122,-2.3987792325237667,-2.4581086636099725
0238_MWIR.jpg,0.353737,1.536274,1.0513691109986547,-28.058947757227177,-8.446869524098465,-2.400330037648596,-2.4597357314693657
0239_MWIR.jpg,0.310631,1.536415,1.0465514734436154,-28.083258809624,-8.454098531643536,-2.4024131145405807,-2.461920001319536
0240_MWIR.jpg,0.353836,1.579155,1.0497164136283024,-28.06728937081677,-8.44935409143137,-2.401045872095058,-2.4604846934335947
0241_MWIR.jpg,0.375629,1.557991,1.0501706518315803,-28.0649974147931,-8.44867318044261,-2.400849646602339,-2.460278691289502
0242_MWIR.jpg,0.375706,1.558075,1.054715578112769,-28.042061021927434,-8.441849179557469,-2.3988833687383577,-2.4582183833387012
0243_MWIR.jpg,0.397308,1.558075,1.0550639675880626,-28.040303039488286,-8.44132663299153,-2.3987327861937997,-2.4580604054164876
0244_MWIR.jpg,0.375977,1.622547,1.0643404874174414,-27.993492327673604,-8.427409778491741,-2.3947225076506244,-2.4538543085472
0245_MWIR.jpg,0.397583,1.686649,1.067926936775318,-27.97539316491284,-8.422025418504006,-2.3931710455430344,-2.4522284693476366
0246_MWIR.jpg,0.354458,1.622658,1.0700612849773727,-27.964622775786726,-8.418823007926923,-2.3922482483321046,-2.4512607581424413
0247_MWIR.jpg,0.397892,1.622917,1.0849569338735323,-27.889454702875458,-8.396469575369931,-2.3858070507481397,-2.4445073982716106
0248_MWIR.jpg,0.462685,1.601536,1.089799869135274,-27.865014895653925,-8.3891995797982,-2.3837122436882248,-2.44231190760618
0249_MWIR.jpg,0.397957,1.665756,1.0924697726761252,-27.851543740774616,-8.385198532270673,-2.3825592139091945,-2.44110102162856
0250_MWIR.jpg,0.462868,1.794048,1.0926017727158757,-27.85087801821269,-8.385001509031639,-2.382502402979293,-2.4410410725830713
0251_MWIR.jpg,0.441238,1.708599,1.0808423371361302,-27.91021909844623,-8.40264662400934,-2.3875869334909123,-2.4463726917979343
0252_MWIR.jpg,0.354813,1.687229,1.067252220199364,-27.978798285502112,-8.423038763397624,-2.3934630317318564,-2.4525343197725604
0253_MWIR.jpg,0.419731,1.623234,1.0670291171997308,-27.979923003925187,-8.423370473262821,-2.393558714081796,-2.452635750795804
0254_MWIR.jpg,0.376549,1.644669,1.0857610061552103,-27.885397920599676,-8.395265213763487,-2.3854599701535477,-2.4441426936363553
0255_MWIR.jpg,0.441399,1.623329,1.1102171989603717,-27.76198283493473,-8.35856027378948,-2.374883428595175,-2.4330550899504213
0256_MWIR.jpg,0.44141,1.601959,1.1149878584637964,-27.737910545744043,-8.351406497200859,-2.372821933221384,-2.430891776942511
0257_MWIR.jpg,0.441395,1.644707,1.116506213032045,-27.730247959318888,-8.349126593212928,-2.372165021423954,-2.4302035189763154
0258_MWIR.jpg,0.46299,1.687447,1.1266019107937866,-27.679300263261958,-8.333971705628516,-2.3677982372184596,-2.425626748096214
0259_MWIR.jpg,0.441391,1.666069,1.1300237119618395,-27.662031566760607,-8.328833321413494,-2.366317681476469,-2.4240756451214134
0260_MWIR.jpg,0.463028,1.772938,1.1307100305436644,-27.65856615619954,-8.32779775064134,-2.3660194188605534,-2.4237649298366235
0261_MWIR.jpg,0.419807,1.6661,1.1401825372400929,-27.610763397110404,-8.31357840267431,-2.361922204787969,-2.419470674071347
0262_MWIR.jpg,0.441456,1.687542,1.146892220765044,-27.576901898191654,-8.303502933123147,-2.359019130796779,-2.416429222316151
0263_MWIR.jpg,0.376656,1.879711,1.1516448668297457,-27.552899848895148,-8.296319394903426,-2.3569507749490746,-2.4142790616846503
0267_MWIR.jpg,0.35508,1.858444,1.1530271679947406,-27.545925580118542,-8.294248452317486,-2.3563539174795,-2.4136520451281616
0268_MWIR.jpg,0.376705,1.879807,1.1412662848000243,-27.605278983452692,-8.311909514426542,-2.361442614258158,-2.418983091064647
0269_MWIR.jpg,0.333508,1.879875,1.146055813551859,-27.58110807038735,-8.304718021748176,-2.3593705046446134,-2.416812000589599
0273_MWIR.jpg,0.376781,1.794601,1.1389746045376712,-27.61685133816688,-8.315370045733852,-2.3624391070030946,-2.420020172600848
0274_MWIR.jpg,0.333549,1.815948,1.1216639312071919,-27.704211166139302,-8.34136081363493,-2.369928023269606,-2.4278673092166474
0275_MWIR.jpg,0.35516,2.050484,1.1887545346838306,-27.365611849761546,-8.240572350076285,-2.3408890237103344,-2.3974596670554207
